fylkeCode;kommuneCode;parentCode;level;name;shortName;notes;validFrom;validTo
34;3441;;1;Gausdal;;;;
34;3442;;1;Østre Toten;;;;
34;3443;;1;Vestre Toten;;;;
34;3446;;1;Gran;;;;
34;3447;;1;Søndre Land;;;;
34;3448;;1;Nordre Land;;;;
34;3449;;1;Sør-Aurdal;;;;
34;3450;;1;Etnedal;;;;
34;3451;;1;Nord-Aurdal;;;;
34;3452;;1;Vestre Slidre;;;;
34;3453;;1;Øystre Slidre;;;;
34;3454;;1;Vang;;;;
38;3801;;1;Horten;;;;
38;3802;;1;Holmestrand;;;;
38;3803;;1;Tønsberg;;;;
38;3804;;1;Sandefjord;;;;
38;3805;;1;Larvik;;;;
38;3806;;1;Porsgrunn;;;;
38;3807;;1;Skien;;;;
38;3808;;1;Notodden;;;;
38;3811;;1;Færder;;;;
38;3812;;1;Siljan;;;;
38;3813;;1;Bamble;;;;
38;3814;;1;Kragerø;;;;
38;3815;;1;Drangedal;;;;
38;3816;;1;Nome;;;;
38;3817;;1;Midt-Telemark;;;;
38;3818;;1;Tinn;;;;
38;3819;;1;Hjartdal;;;;
38;3820;;1;Seljord;;;;
38;3821;;1;Kviteseid;;;;
38;3822;;1;Nissedal;;;;
38;3823;;1;Fyresdal;;;;
38;3824;;1;Tokke;;;;
38;3825;;1;Vinje;;;;
42;4201;;1;Risør;;;;
42;4202;;1;Grimstad;;;;
42;4203;;1;Arendal;;;;
42;4204;;1;Kristiansand;;;;
42;4205;;1;Lindesnes;;;;
42;4206;;1;Farsund;;;;
42;4207;;1;Flekkefjord;;;;
42;4211;;1;Gjerstad;;;;
42;4212;;1;Vegårshei;;;;
42;4213;;1;Tvedestrand;;;;
42;4214;;1;Froland;;;;
42;4215;;1;Lillesand;;;;
42;4216;;1;Birkenes;;;;
42;4217;;1;Åmli;;;;
42;4218;;1;Iveland;;;;
42;4219;;1;Evje og Hornnes;;;;
42;4220;;1;Bygland;;;;
42;4221;;1;Valle;;;;
42;4222;;1;Bykle;;;;
42;4223;;1;Vennesla;;;;
42;4224;;1;Åseral;;;;
42;4225;;1;Lyngdal;;;;
42;4226;;1;Hægebostad;;;;
42;4227;;1;Kvinesdal;;;;
42;4228;;1;Sirdal;;;;
46;4601;;1;Bergen;;;;
46;4602;;1;Kinn;;;;
46;4611;;1;Etne;;;;
46;4612;;1;Sveio;;;;
46;4613;;1;Bømlo;;;;
46;4614;;1;Stord;;;;
46;4615;;1;Fitjar;;;;
46;4616;;1;Tysnes;;;;
46;4617;;1;Kvinnherad;;;;
46;4618;;1;Ullensvang;;;;
46;4619;;1;Eidfjord;;;;
46;4620;;1;Ulvik;;;;
46;4621;;1;Voss;;;;
46;4622;;1;Kvam;;;;
46;4623;;1;Samnanger;;;;
46;4624;;1;Bjørnafjorden;;;;
46;4625;;1;Austevoll;;;;
46;4626;;1;Øygarden;;;;
46;4627;;1;Askøy;;;;
46;4628;;1;Vaksdal;;;;
46;4629;;1;Modalen;;;;
46;4630;;1;Osterøy;;;;
46;4631;;1;Alver;;;;
46;4632;;1;Austrheim;;;;
46;4633;;1;Fedje;;;;
46;4634;;1;Masfjorden;;;;
46;4635;;1;Gulen;;;;
46;4636;;1;Solund;;;;
46;4637;;1;Hyllestad;;;;
46;4638;;1;Høyanger;;;;
46;4639;;1;Vik;;;;
46;4640;;1;Sogndal;;;;
46;4641;;1;Aurland;;;;
46;4642;;1;Lærdal;;;;
46;4643;;1;Årdal;;;;
46;4644;;1;Luster;;;;
46;4645;;1;Askvoll;;;;
46;4646;;1;Fjaler;;;;
46;4647;;1;Sunnfjord;;;;
46;4648;;1;Bremanger;;;;
46;4649;;1;Stad;;;;
46;4650;;1;Gloppen;;;;
46;4651;;1;Stryn;;;;
50;5001;;1;Trondheim;;;;
50;5006;;1;Steinkjer;;;;
50;5007;;1;Namsos;;;;
50;5014;;1;Frøya;;;;
50;5020;;1;Osen;;;;
50;5021;;1;Oppdal;;;;
50;5022;;1;Rennebu;;;;
50;5025;;1;Røros;;;;
50;5026;;1;Holtålen;;;;
50;5027;;1;Midtre Gauldal;;;;
50;5028;;1;Melhus;;;;
50;5029;;1;Skaun;;;;
50;5031;;1;Malvik;;;;
50;5032;;1;Selbu;;;;
50;5033;;1;Tydal;;;;
50;5034;;1;Meråker;;;;
50;5035;;1;Stjørdal;;;;
50;5036;;1;Frosta;;;;
50;5037;;1;Levanger;;;;
50;5038;;1;Verdal;;;;
50;5041;;1;Snåase - Snåsa;;;;
50;5042;;1;Lierne;;;;
50;5043;;1;Raarvihke - Røyrvik;;;;
50;5044;;1;Namsskogan;;;;
50;5045;;1;Grong;;;;
50;5046;;1;Høylandet;;;;
50;5047;;1;Overhalla;;;;
50;5049;;1;Flatanger;;;;
50;5052;;1;Leka;;;;
50;5053;;1;Inderøy;;;;
50;5054;;1;Indre Fosen;;;;
50;5055;;1;Heim;;;;
50;5056;;1;Hitra;;;;
50;5057;;1;Ørland;;;;
50;5058;;1;Åfjord;;;;
50;5059;;1;Orkland;;;;
50;5060;;1;Nærøysund;;;;
50;5061;;1;Rindal;;;;
54;5401;;1;Tromsø;;;;
54;5402;;1;Harstad - Hárstták;;;;
54;5403;;1;Alta;;;;
54;5404;;1;Vardø;;;;
54;5405;;1;Vadsø;;;;
54;5406;;1;Hammerfest;;;;
54;5411;;1;Kvæfjord;;;;
54;5412;;1;Tjeldsund;;;;
54;5413;;1;Ibestad;;;;
54;5414;;1;Gratangen;;;;
54;5415;;1;Loabák - Lavangen;;;;
54;5416;;1;Bardu;;;;
54;5417;;1;Salangen;;;;
54;5418;;1;Målselv;;;;
54;5419;;1;Sørreisa;;;;
54;5420;;1;Dyrøy;;;;
54;5421;;1;Senja;;;;
54;5422;;1;Balsfjord;;;;
54;5423;;1;Karlsøy;;;;
54;5424;;1;Lyngen;;;;
54;5425;;1;Storfjord - Omasvuotna - Omasvuono;;;;
54;5426;;1;Gáivuotna - Kåfjord - Kaivuono;;;;
54;5427;;1;Skjervøy;;;;
54;5428;;1;Nordreisa - Ráisa - Raisi;;;;
54;5429;;1;Kvænangen;;;;
54;5430;;1;Guovdageaidnu - Kautokeino;;;;
54;5432;;1;Loppa;;;;
54;5433;;1;Hasvik;;;;
54;5434;;1;Måsøy;;;;
54;5435;;1;Nordkapp;;;;
54;5436;;1;Porsanger - Porsá?gu - Porsanki;;;;
54;5437;;1;Kárá?johka - Karasjok;;;;
54;5438;;1;Lebesby;;;;
54;5439;;1;Gamvik;;;;
54;5440;;1;Berlevåg;;;;
54;5441;;1;Deatnu - Tana;;;;
54;5442;;1;Unjárga - Nesseby;;;;
54;5443;;1;Båtsfjord;;;;
54;5444;;1;Sør-Varanger;;;;
99;9999;;1;Uoppgitt;;;;
